                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9554,                 9.8028,                 3.6486,                  1e-05,                0.00204,                  1e-05,                      0,                    nan,                    nan,                    nan,             0.00065993,             0.00065993,             0.00065993
                      2,                 3.3341,                 4.1237,                 2.3458,                0.21672,                0.23625,                0.12835,                0.03909,                    nan,                    nan,                    nan,              0.0012828,              0.0012828,              0.0012828
                      3,                 2.5695,                 2.6249,                 1.9081,                0.29155,                 0.3442,                0.20538,                0.05938,                    nan,                    nan,                    nan,              0.0018617,              0.0018617,              0.0018617
                      4,                 2.2389,                 1.9082,                 1.6952,                0.64648,                0.56984,                0.59565,                0.28099,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      5,                 1.9262,                 1.4968,                 1.5007,                0.84445,                0.69043,                0.77779,                0.43152,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                      6,                 1.7466,                 1.2806,                 1.3711,                0.85041,                0.71487,                0.79569,                 0.4655,                    nan,                    nan,                    nan,                0.00167,                0.00167,                0.00167
                      7,                 1.6062,                 1.1505,                 1.3144,                0.88683,                 0.7661,                0.84646,                0.51621,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                      8,                 1.5169,                 1.0328,                 1.2513,                0.88065,                0.82653,                0.88485,                0.51945,                    nan,                    nan,                    nan,               0.001538,               0.001538,               0.001538
                      9,                 1.4904,                 1.0074,                 1.2306,                   0.93,                0.83879,                 0.9083,                0.60097,                    nan,                    nan,                    nan,               0.001472,               0.001472,               0.001472
                     10,                 1.3529,                0.89551,                 1.1774,                0.91412,                0.85336,                0.91263,                0.57853,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     11,                  1.354,                0.87991,                 1.1709,                0.94558,                0.84928,                0.91692,                0.59874,                    nan,                    nan,                    nan,                0.00134,                0.00134,                0.00134
                     12,                 1.2841,                0.80658,                 1.1203,                0.95702,                 0.8554,                0.92871,                0.61756,                    nan,                    nan,                    nan,               0.001274,               0.001274,               0.001274
                     13,                 1.2389,                0.78562,                  1.112,                0.93819,                 0.8778,                0.94109,                0.60776,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     14,                 1.2167,                0.76054,                    1.1,                0.95954,                0.85132,                0.93792,                0.64331,                    nan,                    nan,                    nan,               0.001142,               0.001142,               0.001142
                     15,                 1.2095,                0.77323,                 1.0954,                0.95253,                0.86965,                0.93348,                 0.6488,                    nan,                    nan,                    nan,               0.001076,               0.001076,               0.001076
                     16,                 1.1741,                0.72648,                 1.0881,                0.95503,                0.87576,                0.94383,                0.67154,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     17,                 1.1699,                0.71872,                 1.0708,                0.93514,                 0.9002,                0.94544,                0.65031,                    nan,                    nan,                    nan,               0.000944,               0.000944,               0.000944
                     18,                 1.1436,                0.70225,                 1.0693,                0.95408,                0.88187,                0.95248,                0.68448,                    nan,                    nan,                    nan,               0.000878,               0.000878,               0.000878
                     19,                 1.1336,                0.69235,                 1.0608,                0.96007,                0.87984,                0.95371,                0.68269,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     20,                  1.117,                0.66707,                  1.041,                0.94536,                 0.9162,                0.95623,                0.69183,                    nan,                    nan,                    nan,               0.000746,               0.000746,               0.000746
                     21,                 1.0105,                0.62034,                 1.0497,                 0.9608,                0.87576,                0.94524,                0.67518,                    nan,                    nan,                    nan,                0.00068,                0.00068,                0.00068
                     22,                 1.0129,                0.62206,                 1.0423,                0.94705,                0.91066,                0.95679,                0.68161,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     23,                 1.0128,                0.60874,                 1.0352,                0.96286,                0.89771,                0.95829,                0.71518,                    nan,                    nan,                    nan,               0.000548,               0.000548,               0.000548
                     24,                0.97715,                0.58428,                 1.0182,                0.97284,                 0.8753,                0.94605,                0.69461,                    nan,                    nan,                    nan,               0.000482,               0.000482,               0.000482
                     25,                0.96196,                0.56762,                 1.0155,                0.93802,                0.92472,                0.96326,                0.71795,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     26,                0.93836,                0.54775,                 1.0009,                0.95442,                0.91853,                0.96424,                0.71152,                    nan,                    nan,                    nan,                0.00035,                0.00035,                0.00035
                     27,                0.95181,                0.54619,                 1.0098,                0.94982,                0.92514,                0.96482,                0.73229,                    nan,                    nan,                    nan,               0.000284,               0.000284,               0.000284
                     28,                0.91962,                0.52969,                0.99409,                0.94729,                0.93483,                0.96426,                0.73614,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     29,                0.88997,                0.52155,                 1.0015,                0.96586,                0.92189,                 0.9658,                0.73592,                    nan,                    nan,                    nan,               0.000152,               0.000152,               0.000152
                     30,                0.88403,                 0.5158,                0.98629,                0.96602,                0.92638,                0.96866,                0.74231,                    nan,                    nan,                    nan,                8.6e-05,                8.6e-05,                8.6e-05
